47.243.50.83,1234
47.243.175.55,123
103.197.71.7,80
47.243.124.21,8082
47.56.110.204,8989
202.131.65.110,80
47.243.175.55,9000
47.243.114.192,8180
218.255.187.60,80
192.155.85.207,80
47.243.124.21,2019
47.243.175.55,8181
47.243.124.21,593
47.243.242.70,8001
47.243.50.83,1111
47.243.175.55,1234
47.243.124.21,8888
47.243.200.100,80
144.48.190.0,8080
123.60.109.71,8082
40.83.102.86,80
103.6.177.174,8002
103.59.44.187,8080
152.32.254.214,3128
47.243.92.199,3128
119.28.60.64,8090
203.19.38.114,1080
43.250.107.223,80
152.32.132.220,443
103.225.11.135,80
47.243.124.21,8083
103.59.44.34,2022
47.243.175.55,5555
47.243.50.83,2019
47.243.50.83,9090
45.86.228.249,39811
47.243.242.70,84
47.243.124.21,6789
47.243.124.21,4006
47.243.50.83,8058
202.81.231.126,8080
47.243.175.55,6789
47.243.50.83,8192
47.243.242.70,9992
47.243.175.55,8085
47.243.175.55,5000
47.243.242.70,8090
47.243.50.83,8499
47.243.124.21,8090
103.59.45.53,8080
47.243.175.55,5678
47.242.167.210,4128
47.243.175.55,20002
47.243.242.70,20201
47.243.124.21,4444
